 dmu01Jsp.psi 332.87
 dmu02Jsp.psi 179.24
 dmu03Jsp.psi 388.59
 dmu04Jsp.psi 96.54
 dmu05Jsp.psi 303.00
 dmu06Jsp.psi 823.17
 dmu07Jsp.psi 360.58
 dmu08Jsp.psi 295.81
 dmu09Jsp.psi 148.00
 dmu10Jsp.psi 252.46
 dmu11Jsp.psi 1496.85
 dmu12Jsp.psi 899.99
 dmu13Jsp.psi 622.13
 dmu14Jsp.psi 3.02
 dmu15Jsp.psi 1.77
 dmu16Jsp.psi 1303.41
 dmu17Jsp.psi 734.03
 dmu18Jsp.psi 3787.40
 dmu19Jsp.psi 718.71
 dmu20Jsp.psi 701.29
 dmu21Jsp.psi 0.69
 dmu22Jsp.psi 1.48
 dmu23Jsp.psi 1.30
 dmu24Jsp.psi 0.75
 dmu25Jsp.psi 0.60
 dmu26Jsp.psi 1631.43
 dmu27Jsp.psi 12.16
 dmu28Jsp.psi 17.68
 dmu29Jsp.psi 63.49
 dmu30Jsp.psi 123.00
 dmu31Jsp.psi 0.84
 dmu32Jsp.psi 0.62
 dmu33Jsp.psi 0.43
 dmu34Jsp.psi 2.22
 dmu35Jsp.psi 0.71
 dmu36Jsp.psi 7.83
 dmu37Jsp.psi 11.38
 dmu38Jsp.psi 10.66
 dmu39Jsp.psi 2.02
 dmu40Jsp.psi 4.91
