 la01Jsp.psi           0.05          
 la02Jsp.psi           0.05          
 la03Jsp.psi           0.06          
 la04Jsp.psi           0.05          
 la05Jsp.psi           0.06          
 la06Jsp.psi           0.09          
 la07Jsp.psi           0.06          
 la08Jsp.psi           0.08          
 la09Jsp.psi           0.09          
 la10Jsp.psi           0.09          
 la11Jsp.psi           0.11         
 la12Jsp.psi           0.12         
 la13Jsp.psi           0.12         
 la14Jsp.psi           0.12         
 la15Jsp.psi           0.11         
 la16Jsp.psi           0.15          
 la17Jsp.psi           0.08          
 la18Jsp.psi           0.09          
 la19Jsp.psi           0.16          
 la20Jsp.psi           0.11          
 la21Jsp.psi           7.33         
 la22Jsp.psi           3.94          
 la23Jsp.psi           0.13         
 la24Jsp.psi           3.09          
 la25Jsp.psi           1.38          
 la26Jsp.psi           0.28         
 la27Jsp.psi           2.19         
 la28Jsp.psi           0.35         
 la29Jsp.psi          73.78         
 la30Jsp.psi           0.31         
 la31Jsp.psi           0.27         
 la32Jsp.psi           0.29         
 la33Jsp.psi           0.27         
 la34Jsp.psi           0.28         
 la35Jsp.psi           0.27         
 la36Jsp.psi           4.53         
 la37Jsp.psi          26.24         
 la38Jsp.psi          32.61         
 la39Jsp.psi          11.63         
 la40Jsp.psi         384.80         
